Gaia source IDs,True distance [pc],True RA [deg],True Dec [deg],Stellar mass [M_\odot],G-band mag,True planet mass [M_J],True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg]
1298519628928919040,133.186,245.02094280221613,21.8784066398116,0.718,12.853,12.348,2443.527,145.177,0.553,123.567,121.404,86.074,11.786,2050.567,159.311,0.545,151.042,139.558,126.079,132.971,133.16,133.348,1963.223,2202.15,2641.76,11.677,12.316,13.133,0.506,0.583,0.661,141.785,150.286,158.837
3618066401313436288,221.651,203.65737894428733,-8.716259860435722,1.088,10.228,10.341,937.823,85.971,0.137,332.912,52.201,72.898,11.949,898.853,82.435,0.074,297.666,52.394,890.256,221.311,221.965,222.627,864.431,904.177,946.656,10.574,12.802,17.421,0.087,0.304,0.772,75.018,84.978,94.489
5369428685948482176,142.026,176.3357905240796,-52.39314556615875,0.323,16.119,9.896,893.378,103.911,0.329,65.311,145.496,141.307,12.921,902.966,106.351,0.572,101.535,137.845,250.712,140.907,141.515,142.118,867.598,896.624,922.461,11.554,15.266,34.928,0.449,0.718,0.953,96.218,103.064,111.267
3001250926572790528,82.434,96.02534410315455,-11.07558877865125,0.218,16.199,8.1,605.757,133.338,0.202,51.412,170.312,94.303,7.936,595.941,124.665,0.138,359.638,0.587,274.884,81.683,81.922,82.17,586.222,596.072,607.092,7.4,8.21,9.088,0.053,0.166,0.341,115.257,122.693,131.416
1359804272459856896,85.918,257.33150588859564,47.25516487774802,0.714,12.04,5.722,523.375,37.481,0.654,6.819,288.942,46.85,11.21,517.608,45.223,0.906,95.88,175.542,23.491,85.836,85.897,85.956,515.493,519.02,522.914,9.336,25.521,102.591,0.862,0.983,0.999,43.899,71.035,84.995
5755484978138323456,46.819,129.15362214970176,-5.615386899139114,0.765,9.431,2.634,375.366,132.099,0.016,88.552,132.406,38.793,6.304,381.102,107.368,0.554,276.553,119.901,264.862,46.612,46.717,46.815,371.194,378.312,386.804,4.624,8.418,22.706,0.34,0.844,0.988,94.708,104.752,122.483
3725958724272301568,224.809,202.9660241942855,9.493895269046106,0.993,10.904,7.813,1218.902,117.94,0.045,12.873,303.245,2.381,9.79,1325.265,107.876,0.099,179.089,137.137,1232.788,224.711,225.433,226.182,1274.952,1372.465,1647.802,8.343,10.467,14.503,0.111,0.416,0.925,100.479,109.503,121.029
5386745306883848576,69.66,165.642845708377,-46.32655601538193,0.396,13.847,2.647,851.726,109.749,0.036,253.552,270.035,67.805,2.624,863.872,106.635,0.273,356.271,88.008,757.566,69.624,69.678,69.731,847.871,866.221,886.223,2.448,2.657,2.875,0.072,0.208,0.41,100.168,105.717,111.782
6333357984408352640,112.325,224.39686862981299,-7.319097991122418,0.263,16.284,11.173,1278.832,117.446,0.168,344.883,30.505,151.534,11.916,1283.737,123.721,0.163,36.743,36.203,316.593,111.699,112.243,112.786,1242.843,1280.641,1321.22,11.207,12.13,13.113,0.045,0.146,0.276,115.884,123.219,131.393
4160487987311810944,98.724,273.4132422889,-7.597271479793544,1.118,9.087,10.44,1585.673,44.74,0.14,8.317,255.419,68.112,12.158,1444.926,53.983,0.175,199.255,73.962,110.776,98.691,98.815,98.936,1394.803,1461.253,1555.384,11.228,12.051,12.906,0.079,0.173,0.277,47.667,53.577,58.461
733770767107540736,155.076,166.70508865088246,31.462219240713555,1.049,9.856,10.818,1157.091,131.545,0.005,178.993,196.532,166.685,12.26,1214.225,120.243,0.377,136.248,13.484,627.25,154.756,155.16,155.555,1144.508,1197.621,1246.66,10.974,12.319,14.178,0.119,0.33,0.584,113.389,121.717,131.87
6296782111634992128,102.571,216.38324657213664,-16.969294062344144,0.726,12.323,4.462,1638.731,23.568,0.178,224.154,67.481,163.806,10.244,1475.787,63.528,0.862,76.381,57.777,923.609,102.266,102.463,102.671,1458.949,1497.069,1601.523,5.758,11.319,41.061,0.536,0.903,0.993,49.936,66.307,82.427
526962667269880832,323.245,9.644983539057739,64.04999892099823,0.803,14.036,9.895,828.543,23.216,0.108,168.885,88.11,48.361,12.701,888.193,23.2,0.11,341.185,53.051,404.363,323.344,324.468,325.61,858.504,886.659,916.423,12.708,14.397,16.521,0.058,0.195,0.455,29.459,41.05,52.299
4204284318585088512,195.674,287.54303921722794,-8.50301938714251,0.837,12.039,12.133,1312.519,115.232,0.326,321.085,15.144,48.057,12.892,1252.674,108.575,0.074,166.587,25.157,674.456,195.282,195.874,196.474,1202.949,1248.838,1295.597,11.953,13.41,15.129,0.048,0.154,0.332,99.509,106.927,114.052
3259401379007760640,31.442,63.626735443844105,3.02325048813222,0.822,8.498,3.926,1286.54,128.586,0.117,133.942,206.15,101.74,4.265,1275.786,119.157,0.216,306.157,25.583,80.695,31.444,31.458,31.472,1246.443,1280.505,1319.104,4.006,4.3,4.636,0.127,0.235,0.349,114.703,118.671,122.84
1584743258918744960,131.38,184.9068572095207,64.04691652034684,0.486,14.411,10.516,1981.39,130.521,0.665,164.035,128.029,131.995,10.816,1960.23,131.519,0.712,171.509,135.879,128.774,131.004,131.227,131.444,1887.943,2141.795,2607.099,10.451,12.017,20.841,0.71,0.867,0.972,121.732,131.704,143.215
3492354529626835840,62.802,175.8512792698346,-23.259862061726423,0.204,15.81,9.334,390.689,98.712,0.176,9.491,55.91,10.739,11.956,397.175,96.505,0.533,294.633,50.683,341.736,62.975,63.304,63.711,380.688,387.572,394.964,9.007,10.6,14.348,0.195,0.434,0.71,95.744,104.404,116.112
787748507335818752,138.415,179.20860386235205,49.48948483809892,1.04,9.308,10.421,909.709,119.718,0.212,242.985,45.94,100.141,11.592,924.663,118.234,0.511,246.604,47.6,120.977,138.16,138.379,138.591,905.329,925.603,945.382,10.095,11.841,15.208,0.306,0.523,0.738,109.948,115.983,122.647
3121861541046032256,237.677,93.3056984377064,-0.3172407304039015,0.821,12.799,12.568,1368.387,111.704,0.059,261.843,137.053,30.297,12.353,1234.625,121.497,0.098,36.378,130.951,515.358,237.042,237.725,238.4,1184.975,1259.878,1360.508,11.384,12.857,14.621,0.051,0.175,0.419,113.251,119.638,127.577
4731703695490136960,219.071,58.369945892891494,-54.88592750936838,0.726,13.495,6.528,1075.266,162.52,0.252,23.862,314.751,135.079,8.446,1098.583,144.018,0.651,217.498,137.169,170.863,218.649,219.096,219.564,1059.345,1098.793,1143.184,8.101,14.178,62.341,0.47,0.907,0.996,98.445,118.457,137.701
465680699502824192,54.946,40.649279717300374,61.59324613858934,1.333,6.934,6.517,819.916,26.925,0.851,204.284,20.477,57.742,6.576,832.01,43.909,0.892,191.19,33.621,61.466,54.865,54.91,54.957,819.583,830.283,841.105,6.575,15.773,77.747,0.834,0.99,1.0,50.139,69.442,85.239
3161718979289793920,117.131,113.81148318677702,10.886744172614272,0.232,16.773,11.49,1150.878,119.694,0.215,333.264,164.557,23.691,10.648,1199.472,134.038,0.223,11.159,166.193,139.241,116.223,117.116,117.975,1161.735,1200.93,1242.549,9.941,11.62,14.901,0.108,0.324,0.697,116.54,128.816,142.836
5390120292183649152,275.14,164.59909974718616,-41.347918177535526,0.915,11.874,6.215,1410.15,5.037,0.153,326.791,17.162,23.918,7.805,1239.992,37.371,0.422,108.955,21.975,564.856,275.294,276.161,276.998,1197.974,1281.236,1479.602,7.647,10.201,21.925,0.191,0.703,0.962,37.851,53.33,68.802
461717647273733760,56.511,48.644218794697544,58.291968533506186,0.289,14.491,3.703,1103.359,38.428,0.275,245.033,150.716,94.933,3.901,1118.634,48.707,0.252,247.172,141.056,80.787,56.486,56.538,56.59,1104.913,1119.521,1134.455,3.627,3.888,4.169,0.152,0.241,0.326,44.087,48.816,52.871
661394009756620288,102.081,131.11592507722514,20.30886111205384,0.812,11.136,8.236,532.349,100.723,0.2,183.902,342.727,20.263,10.428,535.553,104.807,0.693,2.553,152.141,11.763,102.013,102.202,102.386,531.883,542.024,552.819,12.392,29.12,144.38,0.825,0.991,1.0,91.333,98.048,111.853
446622383417078400,78.118,52.123561228718536,54.438648139572656,0.444,13.656,3.982,524.019,71.418,0.256,14.744,182.356,71.857,5.034,526.956,36.785,0.712,168.514,31.022,75.922,78.046,78.128,78.207,521.492,528.0,535.54,5.518,13.191,54.413,0.747,0.97,0.998,45.357,66.994,83.859
6376446646806738816,86.475,312.23602226581323,-68.79152838717381,1.634,6.953,3.061,974.239,132.669,0.01,118.698,71.031,105.08,4.595,1015.379,140.351,0.279,216.079,101.627,321.687,86.323,86.415,86.505,980.792,1017.583,1057.577,4.309,5.173,7.029,0.105,0.361,0.835,115.214,130.046,144.548
804475416387249408,141.098,156.02230420999925,40.5614542494213,0.883,11.28,6.822,1020.058,96.263,0.342,12.125,284.333,23.861,8.306,1091.548,99.895,0.298,36.071,114.398,682.016,140.702,141.026,141.346,1059.465,1102.78,1155.633,7.49,9.386,18.679,0.175,0.566,0.988,92.725,99.331,108.201
4887639011522195328,68.614,57.64136605427575,-30.55540699906694,0.97,9.096,9.396,758.646,79.134,0.058,212.684,90.561,119.723,10.429,748.771,80.716,0.267,358.731,88.21,418.6,68.709,68.785,68.897,742.33,749.231,756.592,9.686,10.29,11.407,0.044,0.155,0.463,77.216,80.586,83.649
6071432431847001088,108.478,185.22856378998955,-58.40597982648516,0.369,15.063,6.356,887.326,80.166,0.382,158.974,229.526,95.265,7.391,895.325,86.18,0.683,333.167,44.802,88.795,108.314,108.5,108.69,877.292,897.725,920.854,7.405,12.833,74.609,0.688,0.979,1.0,81.602,87.827,90.977
6485164226257227648,54.939,315.22400073931016,-42.14420662124421,0.787,9.766,3.898,1008.444,64.484,0.218,0.681,139.884,77.116,4.51,981.476,63.02,0.297,350.289,127.488,31.181,54.829,54.872,54.915,967.202,989.505,1012.47,4.119,4.501,4.92,0.109,0.272,0.455,57.097,64.034,70.385
5273014882123453824,134.245,126.71693357106128,-66.2725214391644,0.685,13.22,9.358,1141.386,113.823,0.018,163.146,336.626,131.607,8.938,1172.869,112.743,0.144,336.535,162.091,117.51,134.322,134.491,134.665,1144.732,1180.97,1220.511,8.274,8.987,9.741,0.055,0.167,0.32,107.473,112.255,117.426
525633147252251904,158.753,18.121933688803868,66.79923922312123,0.729,12.784,8.18,1131.266,24.849,0.539,134.925,177.462,128.36,9.276,1140.156,37.487,0.513,148.31,166.153,140.364,158.731,159.026,159.313,1118.547,1145.506,1180.655,8.76,9.973,11.818,0.429,0.576,0.749,31.552,42.869,52.763
673201768206265984,260.086,115.42986849433665,21.320530667579828,0.971,11.496,10.922,1018.545,15.542,0.366,50.685,70.567,136.165,10.485,940.087,21.341,0.346,344.212,51.024,797.953,258.173,259.411,260.497,908.895,962.605,1057.243,11.671,17.398,60.09,0.254,0.807,0.991,45.438,64.628,81.436
604117287968787712,90.389,136.0055912012904,11.219711155295753,0.467,13.767,2.453,1037.17,43.544,0.248,30.157,298.79,48.376,4.606,981.907,60.616,0.716,91.176,166.871,845.644,90.319,90.445,90.571,963.252,1003.051,1050.534,4.343,10.275,35.074,0.687,0.955,0.996,60.145,76.976,85.986
3944759682773560192,210.78,197.6688091257271,23.093702663664875,0.765,12.726,12.343,1085.348,9.151,0.159,181.771,102.6,4.015,11.707,1101.589,29.593,0.328,73.055,74.044,664.517,210.502,211.091,211.701,1066.865,1098.13,1129.367,11.58,12.857,14.308,0.086,0.239,0.436,28.524,39.6,49.531
4690102539182998144,81.873,11.131182944753114,-71.16862278396772,1.267,8.027,3.996,956.466,15.86,0.005,57.152,307.837,127.716,6.529,913.887,37.7,0.261,27.032,155.806,579.161,81.7,81.818,81.937,871.741,922.293,980.276,6.511,8.166,17.505,0.142,0.517,0.949,37.9,54.313,70.334
3341002562175024640,28.931,83.34473920924356,12.354164967405078,0.429,11.627,5.123,149.812,34.507,0.226,155.994,160.72,10.489,5.885,148.966,40.844,0.385,152.981,176.705,14.494,28.906,28.917,28.929,148.522,148.913,149.365,5.398,6.03,6.997,0.202,0.385,0.618,33.96,43.536,51.917
2912655131465986304,235.659,93.61640244125726,-23.993255174634033,0.423,16.239,8.304,1040.284,165.233,0.098,91.185,111.162,156.893,12.229,1025.481,157.221,0.515,344.386,2.125,137.325,233.316,235.11,236.877,979.604,1023.088,1067.932,11.98,15.658,36.233,0.242,0.635,0.961,110.486,128.036,142.672
1982641398729825024,105.468,340.40426806757995,45.54902239568574,0.243,16.401,5.232,1101.122,153.314,0.47,142.656,270.72,156.868,5.579,1073.248,140.089,0.628,220.87,17.939,55.937,105.634,106.022,106.416,1024.334,1084.974,1149.539,5.226,10.025,35.087,0.517,0.914,0.993,99.2,115.878,135.475
6707218467878482048,120.431,271.9899889487454,-48.08998618455436,0.492,14.17,5.69,989.088,116.958,0.303,146.63,52.338,73.137,5.173,957.19,128.162,0.324,119.605,21.039,66.154,120.254,120.523,120.79,930.152,971.087,1023.21,4.799,5.784,7.996,0.182,0.47,0.83,112.92,124.007,136.819
1062845771143930112,189.742,179.38020451676735,72.19156118094126,1.074,10.156,12.229,792.939,143.507,0.164,88.113,84.11,62.425,12.646,809.322,129.338,0.144,152.321,103.376,158.425,189.687,190.205,190.659,777.485,802.688,828.432,11.958,13.816,18.113,0.086,0.285,0.772,117.005,126.235,137.467
5402398263651992576,167.775,168.5403187660127,-34.240555741240236,0.598,14.468,9.447,1106.683,101.243,0.156,270.784,23.529,12.353,11.014,1128.366,104.574,0.412,307.144,25.441,148.111,167.618,168.062,168.501,1096.614,1136.869,1190.394,9.751,11.326,14.082,0.245,0.444,0.665,96.637,103.062,110.091
4604968418998606208,63.124,273.2427033589288,33.29810672716084,0.969,8.918,10.069,992.904,73.919,0.753,308.191,35.335,109.469,9.235,1003.929,75.134,0.772,314.336,35.533,126.224,63.04,63.087,63.131,987.761,1002.599,1016.723,9.07,12.069,26.888,0.754,0.9,0.985,72.218,77.809,83.415
5493188958848656256,139.184,116.87502024145327,-50.34390000045595,0.394,15.37,6.949,1251.806,96.677,0.04,15.576,90.731,84.316,11.745,1213.429,94.061,0.793,74.114,90.992,264.185,138.319,138.747,139.165,1160.245,1216.415,1278.019,7.62,11.237,44.584,0.281,0.804,0.99,88.417,93.008,101.812
1724011146905058944,138.535,244.7712785480788,84.48868242589432,0.362,15.668,8.655,717.535,16.089,0.148,354.812,212.457,30.722,8.825,735.688,44.241,0.343,207.837,25.98,90.94,138.545,138.945,139.342,719.609,737.12,755.034,8.51,10.173,19.382,0.188,0.509,0.926,38.107,52.212,66.134
130081983732796544,62.253,42.503129271521104,30.526343923981187,0.757,10.506,5.652,419.923,167.084,0.105,195.311,153.035,46.751,6.047,415.206,129.248,0.171,160.128,3.302,200.73,62.327,62.396,62.466,410.895,415.096,419.263,5.769,6.463,7.323,0.07,0.223,0.465,115.079,125.711,138.265
6134363770111184896,95.131,194.78044521711774,-45.96215624869558,1.464,7.781,11.126,1777.025,120.29,0.1,213.78,306.034,244.856,12.378,1644.485,121.441,0.067,68.663,131.722,349.112,94.825,94.989,95.152,1601.059,1708.293,1946.923,11.355,12.261,13.188,0.041,0.135,0.304,116.845,122.589,129.977
1837393679329053952,94.122,304.1622067587759,29.531282540874777,0.791,11.13,4.628,771.987,136.365,0.025,124.66,227.277,103.177,5.27,778.231,137.771,0.253,315.762,43.772,128.862,93.836,93.953,94.057,765.718,779.968,795.099,4.903,5.36,5.933,0.056,0.187,0.415,127.568,135.492,145.251
5903867203362296704,55.321,229.22817301202852,-46.20247669600411,1.47,6.327,3.455,1528.058,39.132,0.109,14.831,125.201,159.28,4.156,1375.599,51.825,0.238,166.785,86.525,562.756,55.341,55.385,55.426,1350.896,1428.687,1594.305,3.717,4.265,4.905,0.071,0.228,0.46,40.672,52.248,61.354
2629956226511432576,68.581,336.8229064826762,-0.7545402213014788,0.731,10.625,5.472,1420.177,23.094,0.29,87.221,215.45,202.499,5.44,1388.523,28.119,0.269,214.36,90.32,214.943,68.513,68.575,68.635,1350.349,1396.171,1455.85,5.188,5.518,5.886,0.197,0.274,0.349,22.267,30.813,38.232
2122555936989045632,165.442,271.6351221949086,48.158381390127374,1.138,10.109,11.205,1431.773,63.663,0.256,12.633,161.793,124.434,10.71,1344.772,54.637,0.121,350.372,161.173,21.22,165.505,165.76,166.016,1300.217,1357.671,1430.412,9.703,10.904,12.251,0.05,0.183,0.395,46.655,54.887,61.651
3255177330212482304,151.657,64.21429654135667,0.06357603825003705,0.966,10.201,11.958,897.681,41.829,0.0,315.198,194.581,17.575,9.251,876.171,26.747,0.199,77.627,128.944,166.938,151.099,151.422,151.763,857.906,879.752,903.522,9.235,10.618,13.691,0.079,0.263,0.672,30.762,43.061,55.946
417728832746258944,170.856,10.416684346082379,53.14922982953199,0.5,14.855,10.743,2336.168,10.832,0.036,206.763,108.043,29.143,12.139,2144.947,21.982,0.082,39.955,95.979,1085.117,170.877,171.377,171.904,2304.063,2794.126,3376.241,13.285,18.568,28.342,0.017,0.061,0.135,30.515,44.785,57.17
4422809716282811776,21.665,237.0386473010155,1.5710024915264806,0.843,7.235,5.447,1304.967,61.691,0.202,106.807,220.651,19.331,5.395,1306.066,62.452,0.236,289.462,43.533,33.852,21.65,21.659,21.667,1285.106,1309.163,1336.961,5.194,5.395,5.606,0.178,0.24,0.303,60.223,62.691,65.098
279374432764121600,78.575,77.1106247350687,55.41836041924364,1.0,9.204,5.729,1073.207,140.572,0.311,255.296,44.414,126.791,6.041,1043.524,141.093,0.488,262.659,50.001,104.988,78.608,78.688,78.765,1022.164,1048.253,1076.32,5.37,6.132,7.19,0.339,0.492,0.646,129.517,138.362,148.913
3070711852104646144,151.746,121.22425777421327,-2.275173381898485,0.878,11.476,9.728,805.068,107.95,0.03,23.574,328.76,1.242,11.893,810.022,111.887,0.515,23.825,161.599,364.898,150.912,151.228,151.533,782.372,811.5,840.537,11.876,15.082,32.98,0.441,0.79,0.977,99.733,108.853,119.139
6748222726801483648,175.76,298.8472230661721,-32.00027104061971,0.818,12.233,8.805,920.393,64.973,0.075,144.7,72.481,115.361,12.069,888.436,65.898,0.175,281.879,65.918,445.37,175.927,176.391,176.884,849.803,885.405,919.422,10.98,13.68,23.492,0.138,0.448,0.891,58.922,67.33,74.96
5791416163445889024,163.625,207.77770172692047,-73.62786248368735,0.708,13.014,5.995,974.193,46.059,0.431,291.268,194.023,106.401,7.103,950.841,57.829,0.596,109.504,4.972,79.431,163.681,163.919,164.167,928.111,952.269,978.51,6.339,9.417,32.554,0.452,0.802,0.986,54.102,66.443,81.433
2030726031521419392,289.965,301.500477429308,31.104539199901225,0.887,12.813,9.297,919.378,16.714,0.136,328.097,178.605,119.737,10.327,956.066,26.157,0.388,42.724,42.235,896.859,288.775,289.59,290.37,933.857,960.543,994.48,9.985,12.348,35.779,0.154,0.517,0.965,34.426,48.934,69.885
5193273110552306176,80.695,123.8589684551514,-84.82569751883341,1.023,9.569,4.995,1298.772,133.096,0.235,265.666,158.367,99.861,6.481,1308.182,120.089,0.514,252.669,165.895,18.397,80.669,80.73,80.796,1220.002,1310.033,1449.667,5.941,7.531,15.329,0.408,0.656,0.923,104.702,114.054,121.852
5550982794695774080,160.98,97.19975455067231,-50.07263040855986,0.619,13.718,6.73,1441.508,130.102,0.292,307.49,340.346,19.333,6.833,1331.11,143.853,0.181,55.408,149.195,1086.721,160.957,161.177,161.393,1294.089,1344.472,1412.283,6.392,7.087,8.015,0.077,0.211,0.42,129.421,138.456,148.783
3487160745934249088,176.994,179.40486481819,-27.13624909435902,0.759,12.518,7.176,666.187,32.084,0.266,293.415,85.181,18.713,10.038,651.362,55.873,0.301,306.173,114.322,101.904,176.211,176.631,177.071,637.823,652.76,668.335,9.327,12.055,25.491,0.167,0.558,0.948,48.912,60.996,71.825
3570740534635874944,65.733,180.8757321301604,-13.914507921504304,0.491,12.864,10.58,2454.22,122.625,0.057,147.676,168.802,220.942,7.722,1832.804,127.524,0.161,276.779,178.653,759.784,65.467,65.528,65.587,1940.572,2167.242,2457.517,8.009,9.068,10.853,0.015,0.056,0.13,117.173,121.856,126.281
1956983710779678592,284.743,335.44579633318534,39.97409124860694,0.851,13.05,5.664,908.043,52.536,0.249,108.911,2.107,65.989,8.164,972.969,53.245,0.598,84.662,3.786,34.074,284.757,285.523,286.32,888.166,960.439,1019.458,7.576,20.413,78.738,0.4,0.947,0.996,57.899,76.938,86.502
1808103819127125376,273.091,301.40337394937586,16.34889192824016,0.918,12.297,8.847,1118.758,122.861,0.023,196.343,83.4,21.833,12.72,1159.173,113.481,0.64,277.167,94.236,287.559,270.772,271.932,272.993,1109.545,1182.961,1289.509,9.973,16.149,66.635,0.299,0.852,0.994,93.3,102.5,115.821
456810625662632576,35.482,34.510158101648486,56.266163065863765,0.208,14.514,2.741,1289.086,81.54,0.283,31.003,105.547,184.76,2.815,1290.912,81.621,0.409,54.705,103.923,271.283,35.426,35.446,35.467,1276.233,1292.629,1310.693,2.668,2.811,2.967,0.34,0.41,0.482,79.978,81.548,83.081
2091991369168509056,194.627,284.35936943045203,33.74602509949557,0.813,12.526,4.891,1082.2,69.824,0.009,136.302,246.598,92.253,7.554,960.872,58.206,0.457,53.851,67.54,345.944,194.028,194.382,194.734,927.158,962.893,1005.311,6.538,8.238,16.207,0.183,0.567,0.944,50.134,63.173,74.518
5266385067529317120,193.588,95.32796502406983,-71.27800667530617,0.842,11.671,6.192,1914.699,34.691,0.009,266.776,142.428,49.179,8.703,1543.667,50.247,0.615,62.84,167.931,776.315,193.944,194.296,194.654,1504.072,1607.897,2175.845,7.446,8.757,12.139,0.188,0.493,0.823,38.716,51.564,63.105
4666691737602799616,131.433,59.71479663250796,-69.03115733471797,0.546,13.891,4.175,1474.323,51.584,0.022,132.67,348.692,191.705,5.09,1310.47,60.661,0.263,49.123,163.355,532.812,131.229,131.387,131.545,1265.749,1322.368,1390.532,4.654,5.18,5.748,0.051,0.182,0.393,53.359,61.915,69.389
1859135864628198016,189.7,311.5959937188565,30.486661313015336,0.804,12.545,5.994,1157.012,90.594,0.093,174.528,252.33,99.367,6.014,1170.865,114.682,0.23,308.02,86.856,1108.22,188.421,188.851,189.295,1132.312,1200.896,1422.115,5.584,6.813,11.688,0.153,0.469,0.909,98.214,109.351,122.728
5809668984174358656,339.143,268.370901389671,-71.92921174316949,0.984,12.762,10.537,1087.092,17.098,0.23,272.967,145.791,119.899,11.931,1019.669,40.242,0.36,1.235,93.165,188.418,340.185,341.268,342.354,991.279,1022.733,1054.924,11.336,13.193,18.449,0.185,0.443,0.854,34.929,47.893,60.248
5786772135565346944,112.783,219.00377403423124,-76.54661228629992,0.552,13.511,5.69,1034.416,33.615,0.515,95.352,69.545,151.694,5.694,1064.957,42.738,0.565,107.919,85.16,246.234,112.701,112.835,112.971,1041.992,1063.344,1084.196,5.079,5.868,7.153,0.425,0.578,0.743,35.277,45.828,54.734
569264968392243072,212.257,45.82143327449704,82.43496506208682,1.051,11.168,4.473,1204.68,21.031,0.064,126.052,310.91,115.824,6.683,1189.266,49.823,0.053,136.221,45.352,483.911,211.719,212.172,212.608,1129.472,1214.021,1305.563,6.415,8.158,15.86,0.124,0.485,0.938,44.619,60.231,73.14
3621822848429822336,187.215,197.37551213324886,-12.026360473636775,0.897,12.105,9.822,1163.3,153.974,0.009,260.864,87.39,175.517,10.558,1201.689,139.477,0.245,302.651,93.05,316.925,186.308,186.763,187.216,1170.85,1208.332,1251.469,9.386,10.802,12.481,0.066,0.202,0.411,126.61,135.388,146.608
6062291195261352064,128.152,199.27620524810456,-58.477514025677564,0.301,16.128,9.542,1315.38,97.391,0.304,228.971,46.766,29.622,10.296,1322.133,97.951,0.407,256.443,44.816,138.954,128.346,128.816,129.29,1292.605,1350.518,1449.766,9.101,10.573,14.185,0.255,0.478,0.762,94.619,97.734,101.0
4880011355762876800,41.842,72.24094564703825,-28.72363633056301,0.872,8.739,2.143,1932.531,140.796,0.248,177.477,247.048,285.531,2.272,1597.361,142.87,0.406,36.754,70.86,420.78,41.835,41.854,41.872,1558.748,1672.433,1942.12,2.156,2.372,2.677,0.241,0.397,0.562,128.434,137.631,147.954
293605068161883776,27.109,20.374077299642533,24.330609341713817,0.598,10.027,4.292,348.5,96.249,0.407,256.342,287.593,38.68,3.89,344.428,94.168,0.455,53.395,108.677,21.508,27.059,27.088,27.125,338.595,343.094,347.927,3.394,4.188,5.653,0.284,0.503,0.847,83.316,92.644,100.87
6485532081615486080,110.797,356.16627622663617,-64.78708641894396,0.604,13.035,10.349,1227.832,110.084,0.278,317.071,354.026,172.553,10.309,1225.777,112.043,0.251,118.205,168.595,132.158,110.711,110.825,110.937,1205.282,1231.685,1263.451,9.721,10.295,10.896,0.165,0.248,0.331,109.007,111.835,114.776
409983975918264448,86.418,21.114768904487548,52.4563544360487,0.45,13.821,5.835,168.968,57.779,0.096,143.958,323.004,11.204,7.44,169.0,57.615,0.492,125.011,114.496,76.541,86.404,86.497,86.587,165.61,168.577,170.361,7.126,12.348,50.527,0.321,0.888,0.994,57.773,73.298,84.341
1313695432011574528,286.97,254.3139927595125,32.865864322262254,0.946,12.031,11.069,1049.111,57.32,0.033,352.551,177.626,77.067,10.836,1050.109,45.718,0.213,185.147,177.83,645.22,285.733,286.413,287.089,1004.633,1043.021,1080.539,9.945,11.46,13.291,0.072,0.24,0.541,36.963,49.213,59.212
14440165381371136,181.54,48.19445863828728,9.584765750339113,0.634,14.519,10.704,844.653,54.615,0.067,315.051,134.174,87.471,11.644,884.678,69.958,0.314,160.094,122.827,586.824,181.19,181.822,182.493,860.496,884.567,909.192,10.439,12.297,14.996,0.09,0.312,0.749,61.547,71.769,80.516
6882422759533810944,92.915,315.31331096525196,-17.053360276515985,0.499,13.544,3.226,1486.244,37.576,0.022,192.095,133.711,31.738,3.71,1419.188,44.491,0.275,350.347,150.347,721.328,92.709,92.833,92.957,1388.146,1438.821,1511.685,3.472,3.83,4.229,0.068,0.202,0.39,36.616,47.927,57.398
2981572623372571520,201.682,79.94162937631488,-18.238597555684095,0.764,13.004,5.903,1215.363,165.658,0.418,231.784,79.247,20.313,8.149,1199.816,129.12,0.729,300.638,165.737,1174.509,201.546,201.992,202.427,1137.251,1228.832,1387.259,8.472,25.289,85.156,0.751,0.976,0.998,93.851,102.364,121.462
3370588530294823168,297.811,96.59835047562065,18.353111209005974,0.853,13.137,10.01,1105.762,148.785,0.039,240.753,183.823,91.877,11.827,1080.449,140.0,0.148,47.134,1.156,65.51,297.211,298.546,299.882,1034.841,1083.379,1131.824,11.195,12.868,14.845,0.066,0.209,0.456,117.034,129.884,143.938
3160190756908436480,222.389,107.24102386825687,11.78334491449632,0.817,12.315,5.654,1117.112,161.443,0.105,22.023,304.691,162.116,6.309,1133.152,145.988,0.263,275.599,40.373,616.543,222.093,222.79,223.499,1057.026,1118.831,1182.578,6.408,7.735,10.625,0.089,0.321,0.788,114.33,128.881,143.126
935690133313703808,48.972,119.93237741358328,50.687629193392716,0.369,13.339,7.149,197.672,131.739,0.01,297.441,308.379,15.03,8.727,196.808,123.858,0.147,122.86,105.058,31.635,48.941,48.97,49.0,196.116,196.8,197.574,7.973,8.714,9.541,0.055,0.149,0.268,118.97,123.626,129.285
