Binary source ID,True distance [pc],True RA [deg],True Dec [deg],Primary stellar mass [M_\odot],Secondary stellar mass [M_\odot],Apparent stellar mass [M_\odot],Primary G-band mag,Secondary G-band mag,Apparent G-band mag,True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg],\Delta \chi^2
236,115.45778,320.1754016072973,-53.88859589191154,0.52356,0.51338,0.60365,14.33013,14.416,13.61964,1252.15535,78.09806,0.87873,216.89134,23.59338,197.48462,10.43357,1241.02152,76.61908,0.71538,214.681,22.19966,202.06322,115.39086,115.56766,115.73955,1217.90684,1256.86376,1304.99367,10.17364,18.14134,46.43249,0.75905,0.9633,0.9954,69.60976,78.17923,84.66188,186.45667
237,85.99786,282.1710050095304,5.504977720718051,0.39956,0.3825,0.52071,14.15446,14.28062,13.46313,1185.3698,131.0653,0.38889,323.45539,71.21067,97.15802,11.85558,1172.47631,132.64497,0.43944,315.85223,66.0659,85.54308,85.83956,85.94599,86.05209,1156.69281,1172.32301,1188.50155,11.30771,11.86549,12.48797,0.36094,0.43397,0.50912,129.16003,132.1943,135.58525,1148.24421
238,35.67492,8.087101537059333,9.364278143749576,0.27655,0.25848,0.39289,13.65307,13.83161,12.9861,60.47512,127.11598,0.2671,189.02066,205.21752,8.19564,11.56379,60.69962,122.24374,0.13936,32.78561,24.24929,12.70023,35.66618,35.68241,35.69855,60.4916,60.61273,60.7391,11.18544,12.51259,15.88614,0.14519,0.34542,0.74077,116.22665,123.51998,133.05674,240.90323
239,20.00643,297.3320061939188,-18.64813176032991,0.11993,0.11959,0.17698,14.41149,14.42157,13.66394,1070.54495,137.24453,0.54662,203.81393,119.58631,44.45702,1.19508,1131.68276,101.31739,0.9165,272.30194,114.32878,289.23001,20.00271,20.00874,20.01484,1069.83317,1118.71215,1159.57722,0.64459,1.77311,5.44718,0.72093,0.96687,0.99651,92.92726,98.79468,111.48867,119.37319
240,85.82093,266.2886214478105,-82.94682262984976,0.32931,0.32079,0.46425,14.49366,14.55203,13.76988,1117.23911,92.78485,0.57784,162.57109,208.73801,170.0848,3.53062,1076.84314,94.01614,0.38416,13.05573,34.6597,221.96702,85.78278,85.85228,85.92075,1048.24607,1085.47422,1134.12431,3.23012,3.62756,4.1699,0.20749,0.40573,0.68156,89.20046,94.10751,99.04891,135.2235
241,38.02887,314.6443177975195,-19.860262208460068,0.11147,0.10756,0.15721,15.87417,15.99071,15.17831,369.52834,63.54137,0.31805,334.11998,169.79268,57.33932,4.43838,368.04046,116.99451,0.42051,336.45432,103.09369,101.82236,37.04445,37.56059,37.96461,364.94251,368.18968,372.43303,3.4891,5.50398,10.28142,0.15047,0.43059,0.8374,86.39313,103.22512,117.25425,130.34026
242,113.85125,115.74566691950461,37.52837136208123,0.18358,0.16684,0.26863,17.11008,17.36719,16.47847,569.54315,138.88744,0.05068,123.59019,332.58772,31.46937,11.7066,580.99539,149.71774,0.14571,105.24992,10.20045,531.64187,112.70926,113.27802,113.89749,569.95638,578.80612,588.35128,11.96222,14.60344,33.7772,0.09644,0.38307,0.90766,115.6247,130.88866,144.8613,91.06221
243,41.4718,84.8751568158147,17.156086680355035,0.43154,0.42786,0.5827,12.35329,12.38339,11.61566,238.18584,167.80961,0.642,259.61221,337.79024,24.77214,3.49979,230.90027,119.88155,0.08027,77.61742,97.64316,51.44559,41.44832,41.46996,41.49158,227.84359,229.87802,232.24848,4.35289,11.51125,42.18236,0.5842,0.97051,0.99767,96.22288,110.33727,126.73249,55.92571
244,129.28189,342.46944443308985,-7.411169758557957,0.49694,0.48824,0.62239,14.41949,14.49381,13.70344,838.5798,89.2281,0.03665,183.99236,353.70868,27.36626,9.76264,852.04913,93.51764,0.12062,320.39447,173.24836,770.71171,129.4096,129.67077,129.92925,837.82958,855.66724,876.66551,9.12353,9.84191,10.60031,0.04023,0.12806,0.26399,85.89655,92.12806,98.32465,230.23607
245,142.97344,38.10695767069562,11.282100476953914,0.38502,0.37432,0.51709,15.14411,15.22119,14.42939,1082.50092,36.529,0.15161,301.90743,105.73584,11.7447,9.0174,1107.11269,60.46793,0.23649,292.7576,95.77306,1088.61419,142.50544,142.8999,143.30337,1077.88784,1125.77543,1193.94782,8.11647,9.76697,13.22344,0.09798,0.33867,0.71342,54.90712,63.9213,72.00793,96.02695
246,214.28537,174.9422354817191,-13.839197707063608,0.6067,0.60037,0.69964,14.58195,14.64751,13.86166,679.62274,159.3661,0.71519,156.46956,354.99835,75.73845,12.65283,681.60194,114.25081,0.28567,289.902,171.05593,673.32868,213.04188,213.71307,214.38401,662.61665,678.19143,697.50391,11.07885,13.37654,16.84208,0.10573,0.33739,0.69292,100.55178,110.37109,121.889,58.97839
247,76.76061,198.9666353195621,9.701944184720968,0.31221,0.29933,0.43721,14.79054,14.91824,14.09994,1292.37111,119.08197,0.27944,303.01954,120.10295,79.63559,9.87795,1257.21901,118.38126,0.16137,316.53993,118.54785,111.75933,76.54484,76.64004,76.73603,1228.07292,1258.58468,1294.39031,9.41941,9.91123,10.40694,0.06501,0.14785,0.23387,115.45494,117.97372,120.6936,732.18908
248,50.1996,249.7326109086348,41.46718201222599,0.22103,0.2056,0.31145,14.72445,14.90161,14.05685,1837.97453,70.37075,0.57501,210.91465,260.03222,81.07169,9.1953,1928.30344,72.07652,0.49616,34.97706,83.64749,111.84516,50.21597,50.24172,50.26747,1877.03732,1944.30895,2025.6944,9.01389,9.18142,9.34926,0.46552,0.50335,0.54235,70.80007,71.98284,73.11689,8319.28063
249,252.58056,199.22467343902971,55.95194367536638,0.53566,0.52849,0.6404,15.6549,15.71712,14.93299,1273.40342,32.48037,0.23247,359.61766,109.58035,122.50783,10.05561,1238.3875,54.7278,0.2532,315.94548,125.29229,30.76571,251.73068,252.68404,253.63289,1194.44637,1293.9034,1465.66199,9.61101,12.51697,48.50904,0.19925,0.68455,0.98935,48.42164,63.71767,79.13821,64.71082
250,44.54782,165.34932211981948,-47.83029460462031,0.11125,0.10524,0.10929,17.615,17.80841,16.95483,1247.6312,112.12946,0.86154,198.60189,23.75598,64.77551,5.52915,1263.50925,105.55852,0.92906,207.53123,27.94001,58.60242,44.46183,44.54886,44.63569,1228.56935,1275.65712,1337.70046,5.1962,14.04931,93.19928,0.92697,0.99709,0.99989,92.47942,99.82359,110.44659,217.51972
251,146.40701,297.86889843245774,-3.1764786274812664,0.33884,0.32526,0.44939,15.97292,16.10081,15.28241,1412.14009,155.54829,0.37418,102.36781,208.06283,6.28096,12.27742,1491.05437,131.82081,0.43283,304.10019,47.98396,13.43316,146.70519,147.33091,147.92791,1392.22373,1545.66552,2013.98009,12.6153,27.67978,82.14488,0.50401,0.92206,0.99018,99.98703,112.78947,131.47455,146.93497
252,77.04997,61.95492658605202,-27.697344695551195,0.18834,0.18025,0.27606,15.74366,15.87917,15.05673,732.89406,28.76005,0.74711,47.61724,304.04418,32.83206,7.64492,736.96382,38.98186,0.81089,231.8056,126.77777,38.74809,76.65248,76.78743,76.91175,725.60591,734.09422,742.43649,7.01903,9.03977,18.53904,0.70772,0.86138,0.96819,39.47337,51.65252,68.81034,411.52759
253,80.40748,346.053409643414,-34.59437429647005,0.15252,0.14519,0.22913,16.6959,16.87503,16.0292,1648.72737,70.9567,0.75731,6.76357,177.41256,21.87581,7.23955,1562.5248,70.91066,0.57828,10.29096,177.72106,25.0679,80.14336,80.3679,80.58776,1566.69606,1808.27138,2265.58665,6.86489,7.75016,15.51119,0.60277,0.86216,0.98724,59.04547,68.04172,74.73431,520.3938
254,43.30592,165.01534388856203,63.16135412872483,0.16484,0.1566,0.25383,15.64794,15.76995,14.95466,263.06508,49.81133,0.3883,247.6345,98.56497,1.23229,5.77331,262.7761,60.17102,0.73714,244.81747,95.80524,258.31198,43.26991,43.3007,43.33267,261.11536,262.4225,263.98739,5.52644,9.90181,29.04573,0.72996,0.92937,0.99198,58.18394,70.18051,82.1733,151.55852
255,168.08111,316.5004901440544,-8.614406543599118,0.47138,0.46643,0.60925,14.96206,15.00496,14.23072,986.49371,158.25862,0.53068,115.6817,32.00887,108.45541,6.1029,949.01258,153.19808,0.32333,254.43725,128.6871,235.36465,167.49318,167.99841,168.49901,895.51252,960.53834,1024.16843,6.20523,8.12929,22.29309,0.16626,0.57361,0.95791,107.43038,125.76857,141.84702,68.42649
256,86.26533,253.42429419060434,55.5683594897667,0.32686,0.31508,0.43928,15.10459,15.21579,14.40619,570.4395,95.73921,0.16626,84.60357,93.09085,86.16435,9.14615,569.07949,94.75643,0.234,95.08171,94.81414,98.1651,86.13488,86.21739,86.3033,563.36106,570.10682,577.66533,8.48422,9.16658,9.89177,0.09767,0.22917,0.37334,90.69469,94.61094,98.69244,227.92708
257,436.1596,292.57106282005276,24.59883853029698,1.25239,1.23961,1.2785,11.58419,11.64387,10.86105,926.52519,31.57616,0.75156,277.76786,299.27573,97.56977,12.7046,925.24885,36.25215,0.32588,171.17845,68.33872,163.23487,435.02307,436.99788,438.90807,887.07912,927.03023,969.33243,13.63207,21.02145,93.80788,0.24808,0.82861,0.99304,44.26978,62.48099,81.0113,59.5487
258,74.54027,293.0931182050558,35.349236786489854,0.41897,0.41233,0.56947,13.74431,13.79749,13.018,580.13073,67.69166,0.44179,226.31023,246.39591,72.09817,5.86793,576.28519,67.99772,0.44505,63.1593,76.66199,99.05616,74.53062,74.57645,74.6217,570.63925,576.60972,582.76395,5.52925,6.05956,6.79813,0.35149,0.49651,0.65529,63.35926,68.50654,73.35148,258.80981
259,110.50571,133.6479735854791,-29.55082335250485,0.3534,0.33272,0.47432,14.89768,15.04066,14.21424,1341.94603,61.83478,0.7819,358.65689,169.23839,150.72788,10.77384,1325.02489,63.50968,0.73161,5.70093,168.34852,173.04357,110.41329,110.58439,110.75225,1300.36146,1331.51554,1369.98522,10.35409,11.50792,16.89271,0.68172,0.82434,0.97535,47.65978,60.41766,66.57603,582.08556
260,39.00948,135.78120771382996,9.436438463415188,0.29806,0.28095,0.41105,13.28001,13.44374,12.60621,1446.57402,85.92088,0.20953,249.79867,281.21697,136.67038,11.46565,1425.50911,85.86386,0.21238,72.9497,100.44035,146.09004,38.97928,39.00253,39.02607,1411.45599,1426.56416,1442.90684,11.27547,11.4636,11.65706,0.18155,0.21285,0.24488,85.35695,85.87212,86.39071,4853.60423
261,34.41559,298.2296930217537,35.01455104660603,0.22503,0.22055,0.3181,14.08831,14.13789,13.36024,654.98059,30.69416,0.88153,173.83147,70.75639,10.07076,2.58672,649.98945,60.46305,0.6307,174.64151,69.15795,9.25054,34.41384,34.42429,34.43491,645.44891,650.50639,655.57222,2.49585,2.66394,2.90306,0.584,0.67867,0.80527,51.57077,58.77417,63.88978,538.15678
262,102.30166,127.40362777343425,-42.61600785949285,0.31359,0.30215,0.44037,15.39674,15.50852,14.69862,278.68997,33.87295,0.75829,183.04342,248.3437,14.88407,9.13462,285.81639,52.63676,0.64364,339.70095,87.43338,7.72566,102.23097,102.37153,102.50785,281.53185,285.03225,287.78492,9.48088,17.47618,77.69191,0.60798,0.95747,0.99789,49.32527,67.337,83.0666,65.80771
263,124.92582,204.49270237911333,-22.243575696092353,0.26942,0.24113,0.36944,15.81185,16.05897,15.17582,905.85343,66.13813,0.14256,104.90723,218.10712,126.98956,11.84031,889.70156,81.88185,0.21105,202.17346,41.73881,811.99015,125.05711,125.48195,125.89363,865.18371,888.02364,911.77525,11.1701,12.13965,13.19378,0.08953,0.22211,0.39045,75.60258,82.28736,88.30424,204.98434
264,50.14707,251.55618004252727,-5.670378679641978,0.27661,0.26719,0.38099,14.5307,14.62108,13.82238,306.4603,135.88375,0.32361,25.50292,101.99109,37.31146,6.35492,308.35408,131.71164,0.51582,31.76959,106.79038,40.90318,50.11167,50.16468,50.21124,304.66183,308.36278,311.83627,6.2276,7.9539,16.57981,0.46153,0.7466,0.95917,113.40772,126.66286,137.92007,213.4701
265,95.47617,304.5839983733093,0.3068992958463774,0.12682,0.11955,0.17819,17.36896,17.58805,16.72041,1130.03889,36.12887,0.31472,301.01561,159.60578,57.60711,7.01276,1174.70883,58.27518,0.11177,343.60288,165.85514,243.01587,94.3609,94.91004,95.46297,1120.9773,1189.86202,1263.34684,6.54329,7.51659,9.29657,0.0853,0.26977,0.57595,50.11711,62.07234,73.03875,126.89891
266,89.54762,228.46421784177736,16.312844418272977,0.38221,0.37007,0.51157,14.5076,14.6133,13.80659,1858.95379,84.94903,0.75869,316.18003,145.07177,9.82059,9.83765,1959.35145,85.15552,0.81809,317.09906,146.75853,11.77689,89.59872,89.70198,89.80486,1892.87139,2147.2224,2597.17187,9.46805,11.34803,17.02905,0.81208,0.9137,0.97479,83.22847,86.40468,89.09184,751.41118
267,91.13425,5.2980773743535945,-45.53676601976426,0.30979,0.29414,0.44375,14.76605,14.88662,14.07209,681.3502,73.61722,0.74227,264.89436,293.97762,56.00758,6.48682,679.19173,75.72933,0.52965,70.11584,114.87489,38.41627,90.94689,91.05183,91.15678,673.00877,686.63584,703.22611,6.15877,8.38796,18.98592,0.49114,0.75234,0.95557,73.40852,78.80948,84.15081,174.93405
268,97.31771,99.34426324153394,-0.4679500363499429,0.30358,0.29062,0.41605,15.55306,15.68009,14.86214,1175.22127,22.23917,0.34868,240.51873,88.24518,3.55511,9.76771,1198.74483,36.68065,0.3606,229.4025,94.0476,1177.52822,97.28053,97.49586,97.71903,1172.83483,1205.54111,1242.016,8.9956,9.91929,11.6228,0.27899,0.41479,0.6028,26.84094,36.86782,45.89891,582.73714
269,159.13206,135.58132007810494,-27.795636704674674,0.5333,0.52507,0.65087,14.51727,14.58996,13.80044,1255.72109,111.6386,0.05902,97.69108,343.97862,89.53993,9.85539,1254.529,105.93218,0.28794,133.42655,159.84705,845.61413,158.737,159.02627,159.32679,1227.93125,1282.75064,1352.10076,9.23693,9.94181,10.6706,0.07262,0.20212,0.35732,101.29828,105.18652,109.29531,241.13974
270,74.98551,353.9469412828156,3.5384657584111365,0.21788,0.20936,0.27283,16.56969,16.66948,15.86587,719.61478,61.18922,0.20982,356.4773,297.64795,108.48234,10.22695,261.46106,122.88174,0.23919,196.17987,149.91007,195.15911,75.32134,75.55226,75.77702,258.85786,261.75738,264.6834,10.36431,15.74584,62.64846,0.25312,0.78214,0.9904,97.33929,111.34907,128.77364,54.24843
271,72.87914,347.51764448926787,-31.68022429718855,0.1817,0.17574,0.26354,15.53118,15.63144,14.82758,1113.47998,170.65124,0.56244,334.07027,189.8626,151.50716,5.13992,1108.53078,158.31869,0.59096,165.79158,32.88226,125.50944,72.69207,72.80724,72.92053,1093.3739,1111.57753,1131.20616,4.97512,5.43066,6.0727,0.48284,0.59387,0.70697,137.5583,146.92669,156.56601,360.34079
272,17.13308,138.34028975185936,-30.582461826540875,0.36356,0.34886,0.48152,10.87348,11.02431,10.19371,9.12506,55.22545,0.37725,234.04787,114.23651,0.82548,2.00474,66.3948,110.81487,0.18994,300.22082,136.83518,54.47297,17.13427,17.13731,17.14028,65.6319,66.00484,66.23145,2.473,4.28373,12.47645,0.44696,0.96291,0.99857,85.71917,99.77979,117.47934,75.54863
273,93.56913,168.35783566159836,-2.906082542102493,0.28052,0.26968,0.40079,15.47601,15.58756,14.77778,578.11681,104.02875,0.09409,18.41641,327.83695,22.63165,6.65763,587.06353,87.1286,0.26024,143.37907,161.45141,504.52199,93.44453,93.65019,93.8556,571.62916,583.09764,594.27004,6.42511,7.9117,17.26014,0.15227,0.58556,0.98011,76.04184,87.10094,96.74584,113.96082
274,147.32122,323.82309225548136,28.598252752141214,0.36131,0.34766,0.46554,16.01647,16.14037,15.32408,1477.0994,51.42105,0.47364,103.44602,179.17681,69.92856,11.20512,1355.03084,32.95002,0.4286,306.19103,9.58417,172.45932,148.00358,148.47588,148.94244,1313.80699,1375.66985,1465.59689,10.71388,11.71337,13.03679,0.31171,0.45659,0.60867,29.32911,39.59387,48.51392,321.54686
275,127.9271,98.90661046846331,-21.527254112321977,0.13775,0.13252,0.20201,17.88883,18.04334,17.21076,1674.95974,46.60471,0.40349,22.60888,343.09024,192.61757,6.5538,1359.91353,60.61761,0.23947,64.03434,126.02735,910.57285,127.03808,127.90268,128.83605,1308.33294,1375.4627,1480.0893,5.68768,6.78484,8.1998,0.09933,0.30193,0.65233,47.25015,60.23221,71.13082,81.6657
276,94.61448,249.70954737487253,0.7888621517412981,0.1532,0.14618,0.22772,16.7007,16.86151,16.02556,1512.99419,128.92402,0.56381,135.8388,155.54512,155.11872,6.69141,1516.35957,126.31601,0.34156,138.22501,168.06941,129.04485,94.6241,94.90169,95.17869,1465.89764,1548.96559,1695.28497,6.18383,6.96623,7.9729,0.2347,0.38689,0.55112,116.0466,123.39919,131.58184,249.73898
277,47.43065,173.6245671493675,-35.6761407262788,0.39344,0.37821,0.5197,12.89506,13.01227,12.19951,442.02643,43.20567,0.79317,106.05453,266.3579,44.30463,11.50926,441.95148,45.42615,0.80038,285.3529,91.62276,46.45631,47.41982,47.4453,47.47125,440.70935,442.02549,443.40041,10.52697,11.77328,14.06848,0.75463,0.80934,0.87123,40.56924,47.12582,54.444,1266.68136
278,26.33437,298.8842646908194,13.371529620138707,0.34473,0.33826,0.43673,12.55106,12.62419,11.83443,498.3729,102.01473,0.72684,61.29182,23.80004,26.3563,6.66934,498.35939,101.71194,0.67242,65.03929,26.33975,31.451,26.32914,26.33712,26.34526,495.44745,498.45375,501.47532,6.27681,6.71765,7.2858,0.61719,0.67773,0.73876,99.81216,101.48045,103.14757,1435.61692
279,50.60023,293.8651458320671,26.73851544181956,0.11516,0.1096,0.17548,17.05149,17.22022,16.38001,407.86848,110.03001,0.44115,4.89108,189.09805,33.04383,4.07453,415.14252,130.40331,0.24147,149.3478,7.2997,407.71521,50.53962,50.6562,50.76817,408.08186,414.64101,421.69799,3.65125,4.22683,5.0145,0.06683,0.21835,0.54252,119.68228,128.95327,140.11378,88.20264
280,158.83712,300.3089444579959,-8.905874058281034,0.50795,0.49663,0.61909,14.87264,14.97302,14.1691,332.542,76.64401,0.58807,320.36634,334.87798,27.27028,12.15419,333.17161,92.47798,0.28636,6.17802,142.7777,217.17223,158.99798,159.63241,160.39838,328.89859,336.20833,343.24688,13.40034,27.19761,103.11105,0.3462,0.91358,0.99451,81.68914,91.97159,103.1467,60.79662
281,100.55128,286.3426183849657,13.780407325668351,0.4362,0.42393,0.4327,14.58551,14.695,13.8863,964.57306,170.66786,0.49767,163.74508,324.77459,26.51815,11.50513,957.08709,170.37051,0.52326,196.20904,6.76235,8.27751,100.56939,100.70802,100.8469,951.8675,958.31024,965.43225,11.32061,11.82584,12.45659,0.45438,0.51687,0.57327,151.54886,157.50228,163.97089,1963.64783
282,116.89442,189.34855422792677,7.300080176301634,0.34825,0.33098,0.47536,15.15548,15.27071,14.45899,1083.43113,44.74899,0.15663,203.76989,182.50332,7.72271,9.82549,1075.82336,52.41634,0.36802,86.07801,171.87598,696.41202,116.33243,116.60329,116.88278,1047.54208,1074.61041,1100.80331,8.3071,9.52717,11.53331,0.12016,0.30353,0.53052,40.46773,52.16958,62.53022,182.46491
283,78.11089,335.34568361412676,45.00369063126868,0.44624,0.44153,0.52074,13.97417,14.0166,13.2426,460.44348,51.21064,0.36087,328.12487,340.16827,20.6539,4.73658,450.23171,59.07281,0.33846,233.68003,138.6523,96.82777,78.02145,78.075,78.13027,445.81251,450.77924,456.31432,4.24841,4.81228,5.61196,0.14145,0.33616,0.58196,52.81346,60.18917,66.8994,124.20159
284,60.85143,176.4894380952074,-74.7810738473714,0.41223,0.40877,0.56763,13.36036,13.38846,12.62175,902.86926,73.59325,0.64216,94.34962,8.54617,22.86282,12.15902,908.28756,86.87906,0.98478,92.79397,15.57559,43.55483,60.80568,60.83522,60.86512,889.19384,906.3685,926.67368,5.00725,15.47688,45.96868,0.91006,0.99078,0.9989,82.77742,87.76963,89.33545,95.41166
285,135.2987,291.6675654446552,51.31652895680739,0.51815,0.51103,0.65597,14.07235,14.14055,13.35334,2278.74063,101.79754,0.05652,298.85949,151.75773,336.17901,9.27513,1832.70337,105.06856,0.31563,40.69188,156.48913,818.58292,135.23929,135.41664,135.59524,3042.07142,3855.16887,4425.43375,23.05502,43.33949,67.91088,0.12884,0.30213,0.44003,94.43734,96.46072,99.87387,332.3499
286,323.46009,344.5989187438731,24.220389212645976,0.76852,0.75393,0.83798,14.02978,14.14893,13.33515,1305.70665,66.95473,0.83572,272.53687,201.73365,89.11013,12.19764,1419.65738,60.76906,0.78527,91.8714,149.94233,605.00799,320.66229,322.00407,323.54557,1229.14034,1331.54273,1461.54488,11.16209,24.78334,90.55613,0.57039,0.93418,0.99443,49.63851,69.81595,82.80473,53.42285
287,39.66542,260.3856462357758,11.468962540859641,0.11598,0.11108,0.16108,16.56592,16.71499,15.88532,1868.47171,147.00445,0.2286,167.2276,82.21564,220.74847,5.10904,1904.75542,140.45461,0.20874,144.78464,75.92816,142.72534,39.58907,39.63295,39.67676,1836.28945,1966.03055,2184.51949,4.98528,5.20622,5.49439,0.17163,0.2312,0.30379,133.78452,138.43117,142.96023,2210.44358
288,164.59771,60.2092198516635,57.560803094886076,0.48422,0.47293,0.6127,15.01917,15.11808,14.31493,692.14052,73.41748,0.53918,313.6843,193.00253,4.47381,10.82961,766.26754,85.09561,0.36647,346.91846,25.33884,485.71965,164.45497,164.90975,165.35131,743.75145,772.01511,798.27349,10.23473,12.30601,27.00223,0.18019,0.56525,0.98807,79.33513,86.1145,92.48912,110.09675
289,26.28856,230.8356878693657,-63.58513683395265,0.18214,0.17298,0.26032,13.71244,13.8536,13.02815,25.92629,25.57804,0.70499,328.51423,354.16083,3.49291,5.17968,25.95717,42.57541,0.14766,216.38803,152.90919,6.41542,26.28281,26.29076,26.29835,25.90489,25.91836,25.93337,6.15691,12.25771,58.41843,0.58951,0.96703,0.99833,41.31623,60.29953,82.0187,98.11248
290,60.65374,195.63963695643977,-0.39281921023349115,0.30995,0.30085,0.41991,14.54327,14.62585,13.8312,521.4823,106.07492,0.15604,339.75703,246.34715,22.30532,6.29492,524.98282,107.09295,0.08737,286.10656,73.66233,197.17105,60.62482,60.68249,60.74099,519.78508,524.57071,529.7022,5.78603,6.33278,6.91995,0.0347,0.11624,0.24217,103.11558,107.24985,111.7401,232.28457
291,116.29569,164.1108556613331,61.8709731479608,0.2161,0.20682,0.3165,16.91241,17.02323,16.21383,1111.48651,147.30753,0.45312,105.05911,136.71558,98.84204,5.34349,1182.66859,121.22949,0.19624,8.39236,109.16635,1048.63428,116.17297,116.62921,117.07094,1139.45201,1211.90606,1301.55264,4.91829,6.11717,13.01977,0.14698,0.54246,0.96802,103.13437,115.56265,129.22313,57.89714
292,71.9817,218.96584457190272,-16.881313646759736,0.13312,0.11881,0.19133,16.61159,16.96622,16.02192,461.20064,43.77621,0.43845,216.04335,282.49775,47.77171,12.11436,451.69805,54.95631,0.20463,4.39745,105.4697,22.23463,71.35294,71.69457,71.99438,441.98889,450.14262,458.04803,11.19867,12.59767,14.19156,0.07958,0.2001,0.34227,50.27207,56.8901,62.48736,225.06746
293,178.05611,340.1615180498302,-35.29810036865491,0.28944,0.2743,0.39824,16.92162,17.06946,16.24045,1028.975,71.11709,0.26021,213.7084,135.80601,124.66708,11.98071,1005.16722,66.65225,0.04116,25.04247,134.19595,569.72902,176.1207,177.33318,178.54888,948.32457,1006.23679,1070.08008,11.78212,14.31944,39.46518,0.12986,0.43723,0.96162,59.17676,73.81208,85.01689,79.25466
294,86.65501,62.37814854080984,-37.48987300059242,0.42053,0.41052,0.55118,13.84985,13.93315,13.13812,703.70512,32.66531,0.28983,55.369,237.6088,58.35259,9.54573,707.06974,30.24613,0.34304,224.61392,55.30176,34.81951,86.5131,86.61291,86.7145,702.91663,707.18415,711.53104,9.13407,9.63762,10.22222,0.24028,0.33665,0.42881,25.52106,32.04708,37.4579,976.81691
295,156.07305,25.705982269222527,-72.60476076285073,0.28097,0.24902,0.39454,15.9986,16.25063,15.36474,746.06096,95.41133,0.02681,329.16905,141.12359,68.94706,11.39617,718.56318,94.84317,0.27181,342.49,147.45807,98.73264,155.46874,156.01042,156.56909,700.23166,720.6795,741.84142,10.68467,12.74579,22.36908,0.15877,0.46586,0.96566,86.93685,93.81541,101.85588,72.63831
296,56.52993,56.26001139295126,-19.98789961500865,0.55906,0.55594,0.71167,11.57851,11.61018,10.84165,1297.68945,149.98282,0.43212,231.20659,306.73874,170.58086,4.91935,1298.60995,147.92206,0.34485,71.73934,111.34007,290.09326,56.51523,56.54967,56.5843,1285.68053,1301.29693,1319.13353,4.63495,4.91387,5.21681,0.25658,0.33093,0.40564,141.24195,147.14317,154.51195,828.43803
297,97.6479,10.829329739340155,15.562817812331152,0.22602,0.2128,0.34905,15.94935,16.07941,15.25986,1005.0196,66.60032,0.54637,268.2666,107.26719,39.59746,10.27474,987.37888,66.54784,0.7572,288.08147,101.78099,89.42856,97.0524,97.27135,97.49776,962.17273,988.20542,1014.84354,9.81276,19.10223,79.12317,0.73856,0.94131,0.99609,66.15193,76.09267,85.75941,118.70783
298,119.43363,313.74411752965494,32.89668662853911,0.27194,0.25717,0.3943,15.78517,15.91801,15.09698,994.16934,52.74871,0.57531,333.52004,190.64531,16.48972,8.93056,988.40894,61.9381,0.69444,144.15684,16.81155,983.72946,119.20517,119.4515,119.70357,965.90374,989.59013,1016.34493,9.97924,20.46016,69.72349,0.75978,0.96277,0.99656,62.80118,73.6917,84.31537,177.96549
299,151.52211,311.2838793855515,24.049060050194246,0.5042,0.49506,0.63113,14.67969,14.75824,13.96568,560.23116,73.03583,0.07591,30.37217,172.15695,29.47029,11.69336,568.76908,73.61873,0.147,116.92477,176.78896,174.68175,151.4222,151.73847,152.05368,558.82116,568.84554,579.78014,10.62656,12.16153,14.93479,0.06529,0.22424,0.64422,65.19606,73.66143,81.30649,92.65396
300,73.27437,281.7586028619277,76.89648252104432,0.13409,0.12384,0.19287,16.90659,17.20304,16.29216,919.52362,123.9119,0.93277,283.93401,189.94434,135.59361,5.05952,882.51083,143.76698,0.6779,144.66435,53.87401,126.60076,73.1282,73.28875,73.46063,854.18112,875.27809,897.96979,5.19856,10.64373,39.36968,0.67522,0.94798,0.99582,99.3909,119.84522,139.99068,91.44985
301,59.0978,241.24008954437386,10.877959143720455,0.37728,0.36514,0.51485,13.5528,13.64886,12.84719,672.74561,84.79646,0.82988,262.00012,269.93944,50.07702,10.6289,622.78845,90.75491,0.8565,83.62299,86.75693,47.54064,59.18159,59.2213,59.26114,612.67522,625.16704,641.00606,9.59344,25.44832,59.71219,0.83271,0.97575,0.99533,89.25609,90.29537,91.55071,199.33731
302,137.76868,99.84093792212194,34.13562099732799,0.35401,0.34159,0.47551,15.63848,15.7501,14.94028,672.18963,161.61849,0.42516,21.37312,206.38214,79.61838,12.70307,663.92001,135.24819,0.49749,332.98315,162.7813,62.67464,137.48734,137.95647,138.45079,648.8028,661.12413,674.91418,12.52502,23.94999,81.3577,0.46309,0.92207,0.99347,100.95266,119.24038,137.72112,105.95217
